"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"866811090574876672","","","2017-05-23 00:20:43 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @ahahsak: 土曜日が楽しみだけどその前に乗り越えるべきことがいくつかある","866796839487414272","520310330","2017-05-22 23:24:05 +0000",""
"866810679608565760","","","2017-05-23 00:19:05 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @_15R: 22って毎日を楽しむことができる年齢なんだと気付かされてしまい、これまでの毎日がマイナスとしておれに襲いかかり、死んでしまいました、おしまい","866692688854134788","154102785","2017-05-22 16:30:14 +0000",""
"866810667814092803","","","2017-05-23 00:19:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @_15R: 歳聞かれたから22歳ですって答えたら、毎日楽しいでしょと言われ、気持ちになった","866692219289206784","154102785","2017-05-22 16:28:22 +0000",""
"866810235909844992","","","2017-05-23 00:17:19 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","これやりたい","","","",""
"866810175079841800","","","2017-05-23 00:17:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @abecng: 今日一番カッコよかった人。 https://t.co/AMwQKEYfX9","866690704075923456","109207787","2017-05-22 16:22:20 +0000","https://twitter.com/abecng/status/866690704075923456/photo/1,https://twitter.com/abecng/status/866690704075923456/photo/1"
"866809725458849793","","","2017-05-23 00:15:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @tikal: Twitter、みんなで1000万件とかブロックしまくってTwitterのフロントエンドのメモリリソースのほとんどがHash&lt;UserId, Bool&gt;のハッシュテーブルで占められてほしい","866798849993592832","7611042","2017-05-22 23:32:04 +0000",""
"866807516188917761","866807449549807616","520310330","2017-05-23 00:06:31 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ahahsak 日常ネタでしたねw","","","",""
"866807092882972672","866806992022642689","520310330","2017-05-23 00:04:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@ahahsak まらむw","","","",""
"866806090247176192","","","2017-05-23 00:00:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @s_i_s_i_n: 100年以上前から続く校則で三つ編みが強制だったのですが、「女性の独立と自由が建学の理念だったはずなのに、今やこの三つ編みが鎖となって我々の自由を奪っている！」と反対運動が沸き上がり、時代の流れも重なって私たちの代で廃止になりました。皆も私も「自由…","866581282003664896","212187033","2017-05-22 09:07:32 +0000","https://twitter.com/kaneda_junko/status/866563044955922433"
"866805517988937728","","","2017-05-22 23:58:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @jeonjung_tanaka: 中国と外交ある国でも、苦々しく思っている国はたくさんあるはず。こんな事やっている限り中国は国際社会で尊敬されない。 https://t.co/kboOK5HEhG","866798385151451136","80600519","2017-05-22 23:30:14 +0000","https://twitter.com/nhk_news/status/866778703916744704,https://twitter.com/nhk_news/status/866778703916744704"
"866805302682832896","","","2017-05-22 23:57:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @white_cake: ええええ、この事件「それだけ父親が追い詰められていたのかも」「日本の離婚は女親に有利すぎ」とか言ってた人もいたのに、結局この父親自分から一方的に離婚届突きつけて出ていった挙句の凶行やん。予想より酷い。 / “面会交流：別居の父、…” https:…","866798206016823297","65845947","2017-05-22 23:29:31 +0000","http://htn.to/2mbqmQ"
"866804899274567680","","","2017-05-22 23:56:07 +0000","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @yuki7979seoul: 直訳すると「餃子が落ちました。申し訳ありません」で何じゃこりゃなんですが、떨어지다には「落ちる」以外に「底をつく」という意味があるので、「餃子は品切れです」となります。 https://t.co/5OIganik85","866804735281463296","279858868","2017-05-22 23:55:28 +0000","https://twitter.com/yuki7979seoul/status/866803734717677568,https://twitter.com/yuki7979seoul/status/866803734717677568"
